pnu,floor,year_approval,area_exclusive,price
11710114001,1,1983,63.5,265000000.0
11710114001,1,1994,57.7,335000000.0
11740101001,1,1993,51.98,230000000.0
11740101001,1,1988,42.6,135000000.0
11740107001,1,1987,54.6,255000000.0
11740108001,1,2001,50.23,198000000.0
11740108001,1,1976,37.2,139000000.0
11740108001,1,1992,59.04,205000000.0
11740108001,1,1990,50.1,220000000.0
11740109001,1,1981,69.85,230000000.0
11740109001,1,1992,55.12,193000000.0
11110109001,2,2001,77.35,470000000.0
11110169001,2,1995,116.84,580000000.0
11110175001,2,1998,44.72,150000000.0
11110181001,2,2000,59.93,250000000.0
11110182001,2,2002,255.14,1200000000.0
11110184001,2,2014,59.29,340000000.0
11110186001,2,1987,79.56,405000000.0
11110186001,2,1987,106.87,340000000.0
11140144001,2,2012,19.95,151000000.0
11140162001,2,1995,48.6,260000000.0
11170101001,2,2004,64.38,540000000.0
11170101001,2,2012,38.43,315000000.0
11170101001,2,1998,48.42,230000000.0
11170101001,2,2008,60.34,350000000.0
11170102001,2,1997,36.4,190000000.0
11170102001,2,2008,26.68,240000000.0
11170102001,2,2011,15.92,152000000.0
11170102001,2,1986,37.59,254000000.0
11170107001,2,2007,31.8,440000000.0
11170107001,2,2002,25.94,275000000.0
11170112001,2,2007,46.5,315000000.0
11170112001,2,2006,47.88,340000000.0
11170117001,2,2013,16.24,145000000.0
11170118001,2,2005,61.84,350000000.0
11170119001,2,1993,43.47,260000000.0
11170121001,2,2016,29.48,333000000.0
11170121001,2,2014,45.63,300000000.0
11170124001,2,2002,43.94,700000000.0
11170130001,2,1971,102.81,850000000.0
11170131001,2,2004,57.8,370000000.0
11170131001,2,1978,19.97,680000000.0
11170136001,2,1986,37.8,680000000.0
11200107001,2,1993,46.08,450000000.0
11200111001,2,1996,32.92,119000000.0
11200112001,2,1997,74.65,368000000.0
11200114001,2,2007,82.4,895000000.0
11200122001,2,1985,85.06,550000000.0
11215101001,2,1992,62.85,200000000.0
11215101001,2,1986,45.6,165000000.0
11215101001,2,2002,48.64,200000000.0
11215101001,2,2014,41.69,280000000.0
11215101001,2,2014,41.69,280000000.0
11215101001,2,2002,64.66,250000000.0
11215103001,2,1995,64.71,233000000.0
11215103001,2,2013,55.61,338000000.0
11215103001,2,2017,46.46,318000000.0
11215103001,2,2002,90.27,347000000.0
11215103001,2,1998,68.61,250000000.0
11215103001,2,2003,53.66,255000000.0
11215103001,2,1986,41.22,217000000.0
11215105001,2,2016,39.23,275000000.0
11215105001,2,2016,50.83,356300000.0
11215105001,2,1992,61.14,268000000.0
11215105001,2,2016,44.3,290000000.0
11215105001,2,1986,71.91,370000000.0
11215105001,2,1997,43.67,199000000.0
11215105001,2,2011,12.17,116000000.0
11215109001,2,2017,29.31,194000000.0
11215109001,2,2017,27.24,181500000.0
11215109001,2,2017,27.99,186000000.0
11215109001,2,2017,27.24,181500000.0
11215109001,2,2017,28.0,186000000.0
11215109001,2,2017,29.24,194000000.0
11230102001,2,2011,50.79,200000000.0
11230104001,2,2004,68.9,310000000.0
11230106001,2,1981,53.55,278000000.0
11230106001,2,1982,53.22,255000000.0
11230106001,2,1982,58.12,295000000.0
11230106001,2,2017,53.33,272000000.0
11230106001,2,2017,57.67,292000000.0
11230108001,2,1992,40.09,156000000.0
11230110001,2,1994,49.93,275000000.0
11230110001,2,2002,55.32,275000000.0
11230110001,2,1992,54.27,230000000.0
11230110001,2,1996,57.69,195000000.0
11230110001,2,1995,50.83,270000000.0
11230110001,2,1994,52.5,215000000.0
11260101001,2,1987,55.48,162000000.0
11260101001,2,2004,74.62,267000000.0
11260101001,2,2002,51.56,203000000.0
11260101001,2,1995,46.74,185000000.0
11260101001,2,2012,26.79,158000000.0
11260101001,2,1980,137.56,315000000.0
11260102001,2,1991,50.9,185000000.0
11260103001,2,2015,48.38,220000000.0
11260104001,2,2003,62.81,255000000.0
11260104001,2,2003,54.46,225000000.0
11260104001,2,2015,29.99,172000000.0
11260105001,2,1991,39.81,140000000.0
11260105001,2,1986,50.49,125000000.0
11260105001,2,2012,33.13,152500000.0
11260106001,2,1988,64.89,188500000.0
11290101001,2,1995,42.18,170000000.0
11290103001,2,1965,21.32,129000000.0
11290110001,2,2012,76.69,318000000.0
11290110001,2,2012,66.55,277000000.0
11290127001,2,2017,20.68,136000000.0
11290127001,2,2017,20.68,136000000.0
11290127001,2,2017,22.1,150000000.0
11290127001,2,2017,22.1,150000000.0
11290128001,2,2002,70.84,295000000.0
11290133001,2,2012,50.48,140000000.0
11290133001,2,2016,55.02,240000000.0
11290133001,2,1980,73.88,195000000.0
11290133001,2,1991,37.87,120000000.0
11290133002,2,1990,57.33,200000000.0
11290134001,2,1991,61.9,313700000.0
11290135001,2,2016,30.4,190000000.0
11290135001,2,2012,56.66,240000000.0
11290137001,2,2002,64.2,200000000.0
11290138001,2,1990,43.2,295000000.0
11290138001,2,1985,52.86,318500000.0
11290138001,2,1985,98.37,402500000.0
11290138001,2,1997,60.79,250000000.0
11290138001,2,2016,29.93,160000000.0
11290138001,2,1993,31.11,100000000.0
11290138001,2,1990,35.16,120000000.0
11290138001,2,1986,42.5,134000000.0
11290139001,2,2008,56.58,203500000.0
11290139001,2,2008,72.83,300000000.0
11290139001,2,1993,28.1,86000000.0
11305101001,2,2008,55.0,197000000.0
11305101001,2,1987,52.8,129000000.0
11305101001,2,1992,32.01,183000000.0
11305101001,2,2014,44.64,180000000.0
11305101001,2,1992,46.74,235000000.0
11305102001,2,1998,49.33,138000000.0
11305103001,2,2017,37.15,161500000.0
11305103001,2,2017,53.07,228500000.0
11305103001,2,2017,52.41,222000000.0
11305103001,2,2006,57.54,180000000.0
11305104001,2,2002,49.17,145000000.0
11305104001,2,1995,47.52,121000000.0
11305104001,2,1983,111.22,335000000.0
11320105001,2,2013,12.54,85000000.0
11320105001,2,2013,12.2,80000000.0
11320105001,2,2013,13.22,90000000.0
11320105001,2,2017,50.51,232000000.0
11320105001,2,2017,50.99,232000000.0
11320105001,2,2017,56.72,257000000.0
11320105001,2,1994,40.69,127000000.0
11320105001,2,1995,46.61,95000000.0
11320106001,2,1988,53.11,123000000.0
11320106001,2,1996,36.64,116000000.0
11320106001,2,2012,39.53,125000000.0
11320106001,2,1996,59.57,175000000.0
11320106001,2,1992,31.94,96000000.0
11320106001,2,1995,59.64,175000000.0
11320107001,2,1991,40.72,106000000.0
11320107001,2,1998,47.88,131500000.0
11320107001,2,2002,53.36,167000000.0
11320107001,2,1993,33.2,99900000.0
11320107001,2,1993,36.96,138000000.0
11320107001,2,1991,30.31,105000000.0
11320107001,2,1993,33.42,108000000.0
11320107001,2,1993,34.64,119000000.0
11320108001,2,1987,38.97,85000000.0
11320108001,2,1991,46.73,140000000.0
11320108001,2,2002,46.67,158000000.0
11350102001,2,1976,46.09,134000000.0
11350102001,2,1991,35.7,90000000.0
11350102001,2,1996,50.88,187000000.0
11350102001,2,1976,48.76,163000000.0
11350102001,2,1976,48.76,191250000.0
11350102001,2,1993,59.98,160000000.0
11350103001,2,1993,40.46,148000000.0
11350105001,2,1993,46.8,150000000.0
11350105001,2,1996,47.43,165000000.0
11350105001,2,1995,34.52,133000000.0
11350105001,2,1995,48.14,110000000.0
11350105001,2,1985,64.68,252000000.0
11380101001,2,1986,38.3,250000000.0
11380101001,2,1986,38.7,110000000.0
11380102001,2,1991,51.05,148000000.0
11380102001,2,2008,84.82,315000000.0
11380103001,2,1995,53.82,150000000.0
11380103001,2,1981,64.36,178000000.0
11380103001,2,2003,68.91,190000000.0
11380103001,2,2004,43.38,244000000.0
11380103001,2,1990,82.08,325000000.0
11380103001,2,2001,38.76,134000000.0
11380103001,2,2016,47.8,245000000.0
11380103001,2,2016,40.74,190000000.0
11380103001,2,1995,49.14,145000000.0
11380103001,2,1986,81.74,194250000.0
11380104001,2,1994,30.21,75000000.0
11380104001,2,2013,53.02,243000000.0
11380104001,2,2002,44.0,175000000.0
11380104001,2,1991,34.47,125000000.0
11380104001,2,1986,36.43,155000000.0
11380104001,2,2012,29.98,133000000.0
11380104001,2,1997,69.46,205000000.0
11380104001,2,2008,60.09,212000000.0
11380104001,2,2002,47.44,162000000.0
11380105001,2,2014,56.58,245000000.0
11380105001,2,2005,52.44,215000000.0
11380105001,2,2002,49.15,158000000.0
11380106001,2,2002,68.5,263000000.0
11380106001,2,1991,45.89,140000000.0
11380106001,2,2003,49.72,195000000.0
11380106001,2,1991,36.1,255000000.0
11380106001,2,1985,44.01,108000000.0
11380106001,2,2002,55.82,174000000.0
11380107001,2,1986,28.71,213700000.0
11380107001,2,1988,48.06,324120000.0
11380107001,2,2001,60.5,213000000.0
11380107001,2,1994,67.53,215000000.0
